,MaKH,label
0,496699,0
1,501949,0
2,512041,1
3,529757,0
4,749060,1
5,832491,0
6,2578386,0
7,2868080,0
8,3131446,1
9,3237070,0
10,4065060,0
11,4393766,0
12,4426147,0
13,4442531,0
14,4974936,0
15,5394509,1
16,6754342,0
17,6883595,0
18,6994796,0
19,7996143,0
20,8979439,0
21,9736236,0
22,12723288,0
23,13219791,0
24,13558434,0
25,13875210,0
26,15356438,0
27,17053030,0
28,20174546,0
29,22754948,0
30,25672866,0
31,29633519,0
32,33364516,1
33,93387803,1
34,95596032,0
35,96253613,0
36,97647952,0
37,105113174,0
38,105980723,1
39,106343295,0
40,108217476,0
41,108219149,0
42,110260774,0
43,112330303,0
44,114777397,0
45,115308064,0
46,116512868,1
47,118630092,0
48,118802580,0
49,119850338,0
50,124581849,0
51,126365524,0
52,127372768,1
53,129883993,0
54,130144718,1
55,130435777,0
56,131819607,0
57,134395315,0
58,134658121,1
59,134980550,0
60,136533935,0
61,136607437,0
62,138008013,0
63,143728006,1
64,145341929,0
65,145759932,1
66,146598701,0
67,148534266,0
68,149360923,0
69,151418916,0
70,152004683,0
71,152950789,0
72,153292287,0
73,154799713,1
74,156080324,1
75,156826508,0
76,156956444,0
77,158939440,1
78,160311535,0
79,161606250,0
80,163688549,0
81,165833954,0
82,170510177,0
83,170571353,0
84,171623206,0
85,172081041,0
86,175393251,0
87,175758009,1
88,177443270,0
89,180895599,0
90,181105721,0
91,181804963,0
92,181941096,0
93,181995413,0
94,182354886,0
95,182498199,0
96,185213320,1
97,185587305,0
98,186468142,0
99,186752165,0
100,187130534,0
101,188434523,1
102,189648200,0
103,192382659,0
104,193531946,0
105,193695261,0
106,196609536,0
107,197249553,0
108,197577376,0
109,200299776,0
110,201357886,1
111,201474957,0
112,202181129,0
113,202630675,0
114,202876437,0
115,203501819,0
116,204361993,0
117,205770153,1
118,207352735,0
119,207815701,1
120,208540523,0
121,210010752,1
122,210958069,0
123,211611125,0
124,214644628,0
125,215152971,0
126,219544744,0
127,219579969,0
128,222072099,1
129,222955150,0
130,223042821,0
131,232603585,0
132,234749228,0
133,236170433,1
134,240172293,1
135,243975660,0
136,245773121,0
137,248709377,0
138,250483042,1
139,251082352,1
140,251130240,0
141,251835618,0
142,252621791,1
143,253650012,0
144,253914119,0
145,254362856,0
146,254652483,0
147,256426486,0
148,257263465,0
149,257628213,0
150,257933383,0
151,257963443,0
152,258252059,0
153,258902719,0
154,259248158,0
155,259262972,0
156,259333147,0
157,259521770,0
158,263210975,1
159,266069121,0
160,269353262,0
161,273616634,1
162,273626536,0
163,274079534,0
164,274539027,0
165,274741711,1
166,274768123,0
167,275775288,0
168,275777054,0
169,276237879,0
170,276353257,0
171,276395310,0
172,276443088,0
173,276449927,0
174,276453643,0
175,276513443,0
176,276638970,1
177,276863032,0
178,277401611,0
179,278170506,1
180,278899530,0
181,279447578,0
182,279750250,0
183,279965910,0
184,280192001,0
185,281480974,0
186,281769978,0
187,283042099,0
188,283214513,0
189,284840436,0
190,284887721,0
191,284893031,0
192,287479070,0
193,288278708,0
194,288383864,0
195,288474833,0
196,288747802,0
197,288777869,0
198,288842717,0
199,288906989,0
200,289644605,0
201,289847544,1
